MyUniID,NS1,refCoupNum,coup1,coup2,coup3,interviewDt
4454,10,91108,NA,NA,NA,1587645925000
4462,16,41175,NA,NA,NA,1587641010000
4467,6,61008,31019,31017,31018,1584373717000
4479,10,81032,11072,11070,11071,1584980133000
4522,11,31088,31101,31100,31099,1586179535000
4528,12,31107,31119,31117,31118,1586347059000
4533,7,31118,31127,31128,31126,1586436466000
4534,12,41148,6139,6140,6141,1586866879000
4541,5,31045,31075,31076,31077,1585067427000
4544,13,31117,31200,31201,31199,1587392686000
4550,21,81067,NA,NA,NA,1585582986000
4556,13,31119,31154,31155,31153,1586864659000
4566,21,81060,81068,81067,81069,1585149577000
4570,17,6155,NA,NA,NA,1587309146000
4571,17,41169,6155,6156,6154,1586955180000
4574,13,6133,6147,6145,6146,1586873219000
4575,17,31007,41036,41034,41035,1584452809000
4585,9,41035,NA,NA,NA,1584973301000
4593,18,6145,41183,41184,41182,1586955787000
4596,14,81068,NA,NA,NA,1585660333000
4603,11,6147,31169,31170,31171,1586953588000
4606,5,31171,NA,NA,NA,1587909099000
4615,29,61061,41104,41106,41105,1586178280000
4616,23,41105,41143,41144,41145,1586783658000
4627,15,41106,6118,6119,6120,1586780926000
4632,11,6113,6130,6131,6132,1586792565000
4635,11,91002,11030,11029,11028,1584367849000
4637,10,61063,41134,41135,41136,1586698553000
4648,12,81089,6122,6123,6121,1586782764000
4649,10,11020,NA,NA,NA,1584537319000
4657,11,41134,6138,6136,6137,1586861261000
4659,21,41135,41162,41163,41161,1586867100000
4661,15,41145,31210,31209,31208,1587475204000
4675,10,31106,41131,41132,41133,1586697260000
4686,15,6114,31166,31168,31167,1586950074000
4692,12,6112,31150,31151,31152,1586862594000
4697,13,41168,6152,6151,6153,1586950781000
4703,20,6118,41169,41168,41167,1586872819000
4710,12,31129,31146,31145,31144,1586777646000
4721,9,31144,NA,NA,NA,1587557398000
4722,10,41146,NA,NA,NA,1587474881000
4724,9,41195,NA,NA,NA,1587479392000
4737,14,31155,31203,31202,31204,1587467175000
4743,20,81069,41102,41103,41101,1585669296000
4747,21,41167,41196,41194,41195,1587035122000
